61 HUMAN RESOURCE MANAGEMENT
111 Ali 22 50
222 Ayse 25 45
333 Hasan 26 57
444 Murat 27 34
555 Gamze 23 23
666 Emre 28 12
777 Aydin 24 45
888 Firat 30 43
999 Deniz 31 32
121 Can 29 52
59 TECHNICAL SUPPORT
101 Cansu 25 36
102 Nihan 24 45
103 Osman 38 56
104 Kamil 21 55
105 Adnan 29 48
106 Mustafa 31 49
107 Kaan 33 51
108 Alperen 34 57
109 Ahmet 30 50
110 Zehra 36 40
65 SOFTWARE ENGINEERING
201 Tolga 27 45
202 Cemile 32 46
203 Fatih 27 50
204 Gokcen 26 48
205 Merve 28 42
206 Elif 29 41
207 Anil 36 50
208 Ozkan 40 50
209 Mehmet 26 49
210 Cemil 27 41
